gene	definition	group	log2foldchange	p.value	p.adjust
K00060	tdh; threonine 3-dehydrogenase [EC:1.1.1.103]	progression	0.09756043	0.3583265	0.792076
K00064	E1.1.1.122; D-threo-aldose 1-dehydrogenase [EC:1.1.1.122]	response	0.06693885	0.3070139	0.7509308
K00065	kduD; 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]	progression	0.1007297	0.4624327	0.8612324
K00066	algD; GDP-mannose 6-dehydrogenase [EC:1.1.1.132]	response	0.6583926	0.05336245	0.5040692
K00067	rfbD, rmlD; dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]	response	0.3636947	0.05764939	0.5040692
K00068	srlD; sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140]	response	0.08626829	0.7594629	0.9522438
K00073	allD; ureidoglycolate dehydrogenase (NAD+) [EC:1.1.1.350]	progression	0.1713248	0.949321	0.9732675
K00074	paaH, hbd, fadB, mmgB; 3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]	response	0.3811051	0.1589959	0.6471459
K00075	murB; UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]	response	0.6142028	0.01430588	0.4327822
K00076	hdhA; 7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]	progression	0.02609162	0.6521621	0.9260799
K00077	panE, apbA; 2-dehydropantoate 2-reductase [EC:1.1.1.169]	response	0.442634	0.01692871	0.4327822
K00086	dhaT; 1,3-propanediol dehydrogenase [EC:1.1.1.202]	response	0.1280863	0.9151617	0.9732675
K00087	ygeS, xdhA; xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]	response	0.2619641	0.3271869	0.7578716
K00088	IMPDH, guaB; IMP dehydrogenase [EC:1.1.1.205]	response	0.3309415	0.09824835	0.5651674
K00090	ghrB; glyoxylate/hydroxypyruvate/2-ketogluconate reductase [EC:1.1.1.79 1.1.1.81 1.1.1.215]	progression	0.2193998	0.4920006	0.8648426
K00091	E1.1.1.219; dihydroflavonol-4-reductase [EC:1.1.1.219]	response	0.5835936	0.07575269	0.5386655
K00094	E1.1.1.251, gatD; galactitol-1-phosphate 5-dehydrogenase [EC:1.1.1.251]	progression	0.3327904	0.488197	0.8648426
K00096	araM, egsA; glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]	response	0.06795684	0.6242061	0.9260799
K00097	pdxA; 4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]	response	0.3402579	0.1113469	0.587808
K00098	idnD; L-idonate 5-dehydrogenase [EC:1.1.1.264]	progression	0.3578644	0.3216496	0.7578716
K00099	dxr; 1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]	response	0.304073	0.01996445	0.4327822
K00100	bdhAB; butanol dehydrogenase [EC:1.1.1.-]	response	0.2414663	0.3891976	0.8241469
K00101	lldD; L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]	response	0.2018717	0.7894807	0.956964
K00102	LDHD, dld; D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]	progression	0.178448	0.3245393	0.7578716
K00104	glcD; glycolate oxidase [EC:1.1.3.15]	response	0.6523691	0.08641073	0.5425491
K00105	E1.1.3.21; alpha-glycerophosphate oxidase [EC:1.1.3.21]	progression	0.0437139	0.1572992	0.6471459
K00108	betA, CHDH; choline dehydrogenase [EC:1.1.99.1]	progression	0.1836115	0.8642779	0.9732675
K00111	glpA, glpD; glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]	response	0.03233866	0.6681702	0.9263661
K00112	glpB; glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3]	response	0.1706612	0.8290034	0.9684812
K00113	glpC; glycerol-3-phosphate dehydrogenase subunit C	progression	0.001690271	1	1
K00116	mqo; malate dehydrogenase (quinone) [EC:1.1.5.4]	progression	0.02972091	0.7782342	0.956964
K00117	gcd; quinoprotein glucose dehydrogenase [EC:1.1.5.2]	progression	0.1501495	0.8443574	0.9684812
K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	progression	0.3398009	0.5044768	0.8671379
K00123	fdoG, fdhF, fdwA; formate dehydrogenase major subunit [EC:1.17.1.9]	progression	0.2096567	0.7121043	0.9401329
K00124	fdoH, fdsB; formate dehydrogenase iron-sulfur subunit	progression	0.04945256	0.8536089	0.9684812
K00125	fdhB; formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6]	response	0.4250078	0.2206714	0.686963
K00127	fdoI, fdsG; formate dehydrogenase subunit gamma	progression	0.2996732	0.7362088	0.9522438
K00128	ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	response	0.3900478	0.1589959	0.6471459
K00130	betB, gbsA; betaine-aldehyde dehydrogenase [EC:1.2.1.8]	response	0.3566128	0.64689	0.9260799
K00131	gapN; glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]	response	0.109602	0.559402	0.9068061
K00132	E1.2.1.10; acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10]	progression	0.001258112	0.8290034	0.9684812
K00133	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	response	0.2680342	0.1416447	0.6471459
K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	response	0.2803099	0.1113469	0.587808
K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]	response	0.3744813	0.9240453	0.9732675
K00137	prr; aminobutyraldehyde dehydrogenase [EC:1.2.1.19]	progression	0.1247311	0.9183132	0.9732675
K00138	aldB; aldehyde dehydrogenase [EC:1.2.1.-]	progression	0.1123391	0.6888048	0.9334848
K00140	mmsA, iolA, ALDH6A1; malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]	response	0.3546389	0.6899594	0.9339
K00141	xylC; benzaldehyde dehydrogenase (NAD) [EC:1.2.1.28]	response	0.2173235	0.6549403	0.9260799
K00145	argC; N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]	response	0.3352146	0.03208873	0.4596789
K00146	feaB; phenylacetaldehyde dehydrogenase [EC:1.2.1.39]	response	0.3067846	1	1
K00147	proA; glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]	response	0.3812223	0.01204828	0.4327822
K00148	fdhA; glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46]	response	0.3219033	0.4795001	0.8612324
K00150	gap2; glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59]	response	0.08423804	0.8524527	0.9684812
K00151	hpaE, hpcC; 5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]	response	0.1630663	0.7413725	0.9522438
K00156	poxB; pyruvate dehydrogenase (quinone) [EC:1.2.5.1]	progression	0.0542019	0.8064959	0.956964
K00158	E1.2.3.3, poxL; pyruvate oxidase [EC:1.2.3.3]	response	0.1156051	0.2412644	0.6947875
K00161	PDHA, pdhA; pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]	response	0.2033996	0.9128461	0.9732675
K00162	PDHB, pdhB; pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]	response	0.1999691	0.9727286	0.9932603
K00163	aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1]	progression	0.1392933	0.9467837	0.9732675
K00164	OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]	progression	0.02811991	0.9254423	0.9732675
K00166	BCKDHA, bkdA1; 2-oxoisovalerate dehydrogenase E1 component alpha subunit [EC:1.2.4.4]	response	0.01623952	0.4795001	0.8612324
K00167	BCKDHB, bkdA2; 2-oxoisovalerate dehydrogenase E1 component beta subunit [EC:1.2.4.4]	response	0.0168943	0.4795001	0.8612324
K00169	porA; pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]	progression	0.05146411	0.8064959	0.956964
K00170	porB; pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]	progression	0.07008339	0.7594629	0.9522438
K00171	porD; pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]	response	0.4032011	0.08641073	0.5425491
K00172	porC, porG; pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]	response	0.1028606	0.6242061	0.9260799
K00174	korA, oorA, oforA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]	response	0.474348	0.06619258	0.5201979
K00175	korB, oorB, oforB; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]	response	0.4892721	0.03208873	0.4596789
K00176	korD, oorD; 2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]	response	0.4733686	0.06619258	0.5201979
K00177	korC, oorC; 2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]	response	0.4557762	0.06619258	0.5201979
K00179	iorA; indolepyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.8]	response	0.234942	0.2978602	0.7439571
K00180	iorB; indolepyruvate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.8]	response	0.1977448	0.3271869	0.7578716
K00183		response	0.1008477	0.9727286	0.9932603
K00184	dmsB; dimethyl sulfoxide reductase iron-sulfur subunit	progression	0.2622024	0.8064959	0.956964
K00185	dmsC; dimethyl sulfoxide reductase membrane subunit	progression	0.3209876	0.9755204	0.99341
K00186	vorA; 2-oxoisovalerate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.7]	response	0.213709	0.3545819	0.792076
K00187	vorB; 2-oxoisovalerate ferredoxin oxidoreductase beta subunit [EC:1.2.7.7]	response	0.2384752	0.2528117	0.7101832
K00188	vorD; 2-oxoisovalerate ferredoxin oxidoreductase delta subunit [EC:1.2.7.7]	response	0.194591	0.3979771	0.8316003
K00194	cdhD, acsD; acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta [EC:2.1.1.245]	response	0.5636	0.2206714	0.686963
K00196	cooF; anaerobic carbon-monoxide dehydrogenase iron sulfur subunit	response	0.5046401	0.2978602	0.7439571
K00197	cdhE, acsC; acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit gamma [EC:2.1.1.245]	response	0.5211437	0.1984493	0.6657432
K00198	cooS, acsA; anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4]	response	0.1387969	0.5402914	0.8934715
K00200	fwdA, fmdA; formylmethanofuran dehydrogenase subunit A [EC:1.2.7.12]	response	0.2713231	0.2431152	0.6947875
K00201	fwdB, fmdB; formylmethanofuran dehydrogenase subunit B [EC:1.2.7.12]	response	0.2745711	0.2431152	0.6947875
K00202	fwdC, fmdC; formylmethanofuran dehydrogenase subunit C [EC:1.2.7.12]	response	0.265445	0.2431152	0.6947875
K00203	fwdD, fmdD; formylmethanofuran dehydrogenase subunit D [EC:1.2.7.12]	response	0.2386695	0.3143013	0.7519279
K00204	fwdH; 4Fe-4S ferredoxin	response	0.2691625	0.2771532	0.7221891
K00205	fwdF, fmdF; 4Fe-4S ferredoxin	response	0.4264702	0.2771532	0.7221891
K00208	fabI; enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]	response	0.5426694	0.02748634	0.4531407
K00209	fabV, ter; enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.9 1.3.1.44]	response	0.7468928	0.06174227	0.5201979
K00215	dapB; 4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]	response	0.3741814	0.007050729	0.4327822
K00216	entA; 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28]	progression	0.05113756	0.9183132	0.9732675
K00217	E1.3.1.32; maleylacetate reductase [EC:1.3.1.32]	progression	0.06598216	0.9151617	0.9732675
K00219	fadH; 2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]	response	0.3260062	0.3271869	0.7578716
K00226	pyrD; dihydroorotate dehydrogenase (fumarate) [EC:1.3.98.1]	response	0.08708613	0.7594629	0.9522438
K00228	CPOX, hemF; coproporphyrinogen III oxidase [EC:1.3.3.3]	response	0.07763035	0.5732702	0.910171
K00230	hemG; menaquinone-dependent protoporphyrinogen oxidase [EC:1.3.5.3]	progression	0.2115093	0.5812121	0.910171
K00231	PPOX, hemY; protoporphyrinogen/coproporphyrinogen III oxidase [EC:1.3.3.4 1.3.3.15]	progression	0.302528	0.1206354	0.6196924
K00239	sdhA, frdA; succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]	response	0.4514822	0.02748634	0.4531407
K00240	sdhB, frdB; succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]	response	0.4189136	0.1416447	0.6471459
K00241	sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit	response	0.3618535	0.1416447	0.6471459
K00242	sdhD, frdD; succinate dehydrogenase / fumarate reductase, membrane anchor subunit	progression	0.1579339	0.8642779	0.9732675
K00243	K00243; uncharacterized protein	response	0.3208167	0.05764939	0.5040692
K00244	frdA; fumarate reductase flavoprotein subunit [EC:1.3.5.4]	progression	0.159014	0.3271869	0.7578716
K00245	frdB; fumarate reductase iron-sulfur subunit [EC:1.3.5.4]	progression	0.09564641	0.7127056	0.9401329
K00246	frdC; fumarate reductase subunit C	progression	0.09778885	1	1
K00247	frdD; fumarate reductase subunit D	progression	0.2428347	0.3500731	0.792076
K00248	ACADS, bcd; butyryl-CoA dehydrogenase [EC:1.3.8.1]	response	0.3328547	0.2446236	0.6947875
K00249	ACADM, acd; acyl-CoA dehydrogenase [EC:1.3.8.7]	progression	0.06639835	0.9151617	0.9732675
K00254	DHODH, pyrD; dihydroorotate dehydrogenase [EC:1.3.5.2]	progression	0.02000347	0.9511703	0.9732675
K00259	ald; alanine dehydrogenase [EC:1.4.1.1]	response	0.2896949	0.1779096	0.6595618
K00260	gudB, rocG; glutamate dehydrogenase [EC:1.4.1.2]	response	0.2317487	0.246416	0.6988694
K00261	GLUD1_2, gdhA; glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]	response	0.6998367	0.4569009	0.8612324
K00262	E1.4.1.4, gdhA; glutamate dehydrogenase (NADP+) [EC:1.4.1.4]	response	0.3305415	0.08641073	0.5425491
K00263	E1.4.1.9; leucine dehydrogenase [EC:1.4.1.9]	response	0.04440911	0.3070139	0.7509308
K00265	gltB; glutamate synthase (NADPH) large chain [EC:1.4.1.13]	response	0.2525721	0.2206714	0.686963
K00266	gltD; glutamate synthase (NADPH) small chain [EC:1.4.1.13]	response	0.3411881	0.08641073	0.5425491
K00275	pdxH, PNPO; pyridoxamine 5'-phosphate oxidase [EC:1.4.3.5]	response	0.2122159	0.7133032	0.9401329
K00276	AOC3, AOC2, tynA; primary-amine oxidase [EC:1.4.3.21]	response	0.1175583	1	1
K00278	nadB; L-aspartate oxidase [EC:1.4.3.16]	response	0.3492633	0.09824835	0.5651674
K00281	GLDC, gcvP; glycine dehydrogenase [EC:1.4.4.2]	response	0.3710395	0.2206714	0.686963
K00282	gcvPA; glycine dehydrogenase subunit 1 [EC:1.4.4.2]	response	0.2765323	0.6668053	0.9263661
K00283	gcvPB; glycine dehydrogenase subunit 2 [EC:1.4.4.2]	response	0.7566056	0.07549812	0.5386655
K00285	dadA; D-amino-acid dehydrogenase [EC:1.4.5.1]	progression	0.1184332	0.7782342	0.956964
K00286	proC; pyrroline-5-carboxylate reductase [EC:1.5.1.2]	response	0.3228215	0.03208873	0.4596789
K00287	DHFR, folA; dihydrofolate reductase [EC:1.5.1.3]	response	0.2772049	0.04329747	0.4741032
K00290	LYS1; saccharopine dehydrogenase (NAD+, L-lysine forming) [EC:1.5.1.7]	response	0.3177048	0.1257864	0.6196924
K00294	E1.2.1.88; 1-pyrroline-5-carboxylate dehydrogenase [EC:1.2.1.88]	progression	0.004023099	0.9511278	0.9732675
K00297	metF, MTHFR; methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]	response	0.3537732	0.03733642	0.4658764
K00299	ssuE; FMN reductase [EC:1.5.1.38]	response	0.01074917	0.5622186	0.9068061
K00302	soxA; sarcosine oxidase, subunit alpha [EC:1.5.3.1]	response	0.01827036	0.4795001	0.8612324
K00303	soxB; sarcosine oxidase, subunit beta [EC:1.5.3.1]	response	0.08693417	0.3583265	0.792076
K00313	fixC; electron transfer flavoprotein-quinone oxidoreductase [EC:1.5.5.-]	progression	0.7480657	0.5293484	0.8934715
K00318	PRODH, fadM, putB; proline dehydrogenase [EC:1.5.5.2]	response	0.0804721	0.5385201	0.8934715
K00319	mtd; methylenetetrahydromethanopterin dehydrogenase [EC:1.5.98.1]	response	0.2983098	0.2431152	0.6947875
K00320	mer; 5,10-methylenetetrahydromethanopterin reductase [EC:1.5.98.2]	response	0.2451782	0.2771532	0.7221891
K00322	sthA, udhA; NAD(P) transhydrogenase [EC:1.6.1.1]	progression	0.183181	0.9183132	0.9732675
K00324	pntA; H+-translocating NAD(P) transhydrogenase subunit alpha [EC:1.6.1.2 7.1.1.1]	response	0.6901302	0.9746477	0.99341
K00325	pntB; H+-translocating NAD(P) transhydrogenase subunit beta [EC:1.6.1.2 7.1.1.1]	response	0.2633564	0.7748645	0.956964
K00330	nuoA; NADH-quinone oxidoreductase subunit A [EC:7.1.1.2]	response	0.519043	0.05764939	0.5040692
K00331	nuoB; NADH-quinone oxidoreductase subunit B [EC:7.1.1.2]	response	0.3422209	0.1779096	0.6595618
K00332	nuoC; NADH-quinone oxidoreductase subunit C [EC:7.1.1.2]	response	0.2178118	0.3340865	0.7720353
K00333	nuoD; NADH-quinone oxidoreductase subunit D [EC:7.1.1.2]	response	0.1419125	0.7068807	0.9401329
K00334	nuoE; NADH-quinone oxidoreductase subunit E [EC:7.1.1.2]	response	0.1368069	0.2446236	0.6947875
K00335	nuoF; NADH-quinone oxidoreductase subunit F [EC:7.1.1.2]	response	0.1389181	0.3912673	0.8241469
K00336	nuoG; NADH-quinone oxidoreductase subunit G [EC:7.1.1.2]	response	0.1941354	0.2978602	0.7439571
K00337	nuoH; NADH-quinone oxidoreductase subunit H [EC:7.1.1.2]	response	0.4249528	0.09824835	0.5651674
K00338	nuoI; NADH-quinone oxidoreductase subunit I [EC:7.1.1.2]	response	0.3152738	0.2978602	0.7439571
K00339	nuoJ; NADH-quinone oxidoreductase subunit J [EC:7.1.1.2]	response	0.3846003	0.2206714	0.686963
K00340	nuoK; NADH-quinone oxidoreductase subunit K [EC:7.1.1.2]	response	0.07403329	0.9511703	0.9732675
K00341	nuoL; NADH-quinone oxidoreductase subunit L [EC:7.1.1.2]	response	0.3730071	0.1779096	0.6595618
K00342	nuoM; NADH-quinone oxidoreductase subunit M [EC:7.1.1.2]	response	0.4305566	0.09824835	0.5651674
K00343	nuoN; NADH-quinone oxidoreductase subunit N [EC:7.1.1.2]	response	0.2453816	0.4624327	0.8612324
K00344	qor, CRYZ; NADPH:quinone reductase [EC:1.6.5.5]	response	0.05441096	0.8302531	0.9684812
K00346	nqrA; Na+-transporting NADH:ubiquinone oxidoreductase subunit A [EC:7.2.1.1]	response	0.4514833	0.05004352	0.490626
K00347	nqrB; Na+-transporting NADH:ubiquinone oxidoreductase subunit B [EC:7.2.1.1]	response	0.4791007	0.06619258	0.5201979
K00348	nqrC; Na+-transporting NADH:ubiquinone oxidoreductase subunit C [EC:7.2.1.1]	response	0.4435696	0.05764939	0.5040692
K00349	nqrD; Na+-transporting NADH:ubiquinone oxidoreductase subunit D [EC:7.2.1.1]	response	0.4568289	0.07575269	0.5386655
K00350	nqrE; Na+-transporting NADH:ubiquinone oxidoreductase subunit E [EC:7.2.1.1]	response	0.5014665	0.03733642	0.4658764
K00351	nqrF; Na+-transporting NADH:ubiquinone oxidoreductase subunit F [EC:7.2.1.1]	response	0.4747105	0.06619258	0.5201979
K00354	E1.6.99.1; NADPH2 dehydrogenase [EC:1.6.99.1]	progression	0.08386037	0.4386603	0.8612324
K00355	NQO1; NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]	response	0.4296926	0.8541141	0.9684812
K00362	nirB; nitrite reductase (NADH) large subunit [EC:1.7.1.15]	response	0.0186882	0.9183132	0.9732675
K00363	nirD; nitrite reductase (NADH) small subunit [EC:1.7.1.15]	progression	0.1576971	0.5622186	0.9068061
K00364	E1.7.1.7, guaC; GMP reductase [EC:1.7.1.7]	response	0.2332899	0.8531304	0.9684812
K00366	nirA; ferredoxin-nitrite reductase [EC:1.7.7.1]	response	0.08707029	0.2771532	0.7221891
K00370	narG, narZ, nxrA; nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-]	progression	0.2851776	0.8988462	0.9732675
K00371	narH, narY, nxrB; nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]	progression	0.1344491	0.949321	0.9732675
K00372	nasA; assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-]	response	0.3634741	0.5732702	0.910171
K00373	narJ, narW; nitrate reductase molybdenum cofactor assembly chaperone NarJ/NarW	response	0.005340459	0.7993116	0.956964
K00374	narI, narV; nitrate reductase gamma subunit [EC:1.7.5.1 1.7.99.-]	response	0.07766441	0.7506385	0.9522438
K00375	K00375; GntR family transcriptional regulator / MocR family aminotransferase	response	0.5768645	0.03208873	0.4596789
K00380	cysJ; sulfite reductase (NADPH) flavoprotein alpha-component [EC:1.8.1.2]	response	0.08703252	0.7789084	0.956964
K00381	cysI; sulfite reductase (NADPH) hemoprotein beta-component [EC:1.8.1.2]	response	0.7083767	0.3028646	0.7509308
K00382	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]	response	0.4975899	0.05004352	0.490626
K00383	GSR, gor; glutathione reductase (NADPH) [EC:1.8.1.7]	response	0.193952	0.6521621	0.9260799
K00384	trxB, TRR; thioredoxin reductase (NADPH) [EC:1.8.1.9]	response	0.5793024	0.01011233	0.4327822
K00385	asrC; anaerobic sulfite reductase subunit C	response	0.5714151	0.02748634	0.4531407
K00389	yidH; putative membrane protein	progression	0.4630491	0.186534	0.6657432
K00390	cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]	response	0.08081161	0.6905354	0.9339
